Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
Richview Pumping Station,2357,Square feet,168,11889902.24,kWh,,,"1,141,906.2"
Rosehill Pumping Station,1550,Square feet,168,13466517.58,kWh,,,"1,293,324.3"
Scarborough Pumping Station,9160,Square feet,168,11347653.29,kWh,,,"1,089,828.6"
St. Albans Pumping Station,3240,Square feet,168,3727278.129,kWh,,,"357,967.8"
Thornhill Pumping Station,1550,Square feet,168,397529.5645,kWh,,,"38,178.7"
W.H. Johnston Pumping Station,1744,Square feet,168,2265233.197,kWh,,,"217,553.0"
West Toronto Pumping Station,7739,Square feet,168,6136579.774,kWh,,,"589,357.1"
Highland Creek Treatment Plant,255395,Square feet,168,32612928.71,kWh,6856573.765,Cubic meter,"16,095,369.2"
Humber Treatment Plant,224869,Square feet,168,52706016.58,kWh,1796024.588,Cubic meter,"8,457,498.4"
Main Treatment Plant,378438,Square feet,168,114690500,kWh,4545260.306,Cubic meter,"19,608,267.5"
North Toronto Treatment Plant,21786,Square feet,168,2124096.258,kWh,,,"203,998.2"
F.J. Horgan Filtration Plant,325447,Square feet,168,40578442.45,kWh,,,"3,897,153.6"
Island Filtration Plant,64196,Square feet,168,8016260.065,kWh,48620.87693,Cubic meter,"861,805.6"
R.C. Harris Filtration Plant,115368,Square feet,168,53778232.03,kWh,0,Cubic meter,"5,164,861.4"
R.L. Clark Filtration Plant,401612,Square feet,168,50105522.13,kWh,32009.11681,Cubic meter,"4,872,651.6"
Fire Academy,61214,Square feet,168,722322.1027,kWh,102338.2274,Cubic meter,"262,855.2"
Fire Museum And Storage,3272,Square feet,168,21907.22824,kWh,13874.45122,Cubic meter,"28,335.4"
Fire Station 111,5662,Square feet,168,90543.41418,kWh,18779.06759,Cubic meter,"44,200.0"
Fire Station 112,7018,Square feet,168,220796.7509,kWh,23040.31965,Cubic meter,"64,766.0"
Fire Station 113,4833,Square feet,168,79579.29365,kWh,15652.48294,Cubic meter,"37,235.8"
Fire Station 114,8633,Square feet,168,203253.9606,kWh,31758.49412,Cubic meter,"79,564.0"
Fire Station 115,5985,Square feet,168,104149.2412,kWh,11284.1133,Cubic meter,"31,336.5"
Fire Station 116,11776,Square feet,168,190000.8117,kWh,20586.85845,Cubic meter,"57,169.7"
Fire Station 121,4219,Square feet,168,106496.8529,kWh,7812.176471,Cubic meter,"24,997.9"
Fire Station 122,3046,Square feet,168,51472.85817,kWh,13639.05943,Cubic meter,"30,729.8"
Fire Station 123,2497,Square feet,168,48290.23063,kWh,15498.05249,Cubic meter,"33,938.8"
Fire Station 125,5813,Square feet,168,66022.09375,kWh,10116.88551,Cubic meter,"25,468.0"
Fire Station 131,5845,Square feet,168,80908.32353,kWh,17382.04464,Cubic meter,"40,633.4"
Fire Station 132,7664,Square feet,168,90998.56667,kWh,16626.88172,Cubic meter,"40,174.7"
Fire Station 133,8062,Square feet,168,96789.68563,kWh,13826.39009,Cubic meter,"35,436.2"
Fire Station 134,7126,Square feet,168,42320.63591,kWh,16745.79859,Cubic meter,"35,724.5"
Fire Station 135,10592,Square feet,168,134229.9182,kWh,22170.96364,Cubic meter,"54,808.5"
Fire Station 141,2895,Square feet,168,158708.5811,kWh,39463.87399,Cubic meter,"89,853.8"
Fire Station 142,5586,Square feet,168,120152.1048,kWh,23460.8553,Cubic meter,"55,895.1"
Fire Station 143,2895,Square feet,168,71421.4874,kWh,18254.7296,Cubic meter,"41,372.2"
Fire Station 145,11001,Square feet,168,102254.3235,kWh,23581.38205,Cubic meter,"54,404.1"
Fire Station 146,7535,Square feet,168,57471.86508,kWh,14651.15375,Cubic meter,"33,219.5"
Fire Station 211,5005,Square feet,168,94397.84518,kWh,7536.291602,Cubic meter,"23,314.3"
Fire Station 212,16501,Square feet,168,218510.9465,kWh,45537.0625,Cubic meter,"107,079.4"
Fire Station 213,5048,Square feet,168,59459.28125,kWh,12962.24329,Cubic meter,"30,217.2"
Fire Station 214,4887,Square feet,168,58085.99929,kWh,12264.79544,Cubic meter,"28,766.7"
Fire Station 215,5737,Square feet,168,62897.62844,kWh,11752.54806,Cubic meter,"28,260.4"
Fire Station 222,6910,Square feet,168,59015.71875,kWh,14975.07548,Cubic meter,"33,980.2"
Fire Station 223,7459,Square feet,168,45286.03125,kWh,11823.7303,Cubic meter,"26,703.5"
Fire Station 224,3767,Square feet,168,61795.64706,kWh,9101.975941,Cubic meter,"23,143.3"
Fire Station 225,9085,Square feet,168,95332.12557,kWh,21005.95092,Cubic meter,"48,870.1"
Fire Station 226,11808,Square feet,168,69339.64801,kWh,27561.09265,Cubic meter,"58,767.1"
Fire Station 227,10484,Square feet,168,75748.93128,kWh,20981.25671,Cubic meter,"46,942.7"
Fire Station 231,14241,Square feet,168,139796.3438,kWh,25052.44302,Cubic meter,"60,790.9"
Fire Station 232,5350,Square feet,168,72624.18881,kWh,11388.29529,Cubic meter,"28,505.8"
