Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Caledonia Rd Serv Yard,1981,Square feet,70,55028.64607,kWh,0,Cubic meter,"2,421"
Campbell Ave Playground,1453,Square feet,100,201188.979,kWh,0,Cubic meter,"8,852"
Campbell House,3595,Square feet,100,26967.97562,kWh,0,Cubic meter,"1,187"
Canoe Landing Park,0,Square feet,100,44420.25333,kWh,0,Cubic meter,"1,954"
Car Park,0,Square feet,168,8363.227196,kWh,0,Cubic meter,368
Carefree Lodge,67490,Square feet,168,1264328.33,kWh,117370.56,Cubic meter,"277,461"
Carlton Park,506,Square feet,100,7291.422812,kWh,0,Cubic meter,321
Carmine Stefano Community Ctr,57867,Square feet,100,243910.1565,kWh,93378.57066,Cubic meter,"187,218"
Carr St Parkette,194,Square feet,100,6.2256,kWh,0,Cubic meter,0
Casa Loma,121374,Square feet,100,1108712.087,kWh,17108.28937,Cubic meter,"81,118"
Cassandra Park,861,Square feet,100,167294.2882,kWh,0,Cubic meter,"7,361"
Cassels Ave Playground,183,Square feet,100,1370.875475,kWh,0,Cubic meter,60
Castlefield Yard,36447,Square feet,70,318563.7634,kWh,50839.9925,Cubic meter,"110,104"
Castleview Wychwood Towers,294447,Square feet,168,5395088.028,kWh,335473.2239,Cubic meter,"871,428"
Cathedral Square Park,0,Square feet,100,7217.657158,kWh,0,Cubic meter,318
Cawthra Playground,183,Square feet,100,28.425801,kWh,0,Cubic meter,1
Cecil Community Ctr,5769,Square feet,100,79810.50357,kWh,0,Cubic meter,"3,512"
Cedar Brook C.C,14951,Square feet,100,161550.1342,kWh,6592.929554,Cubic meter,"19,569"
Cedar Ridge Creative Centre,13110,Square feet,100,144548.285,kWh,18220.19662,Cubic meter,"40,796"
Cedarbrae,31506,Square feet,70,558661.6268,kWh,23585.5259,Cubic meter,"69,158"
Cedarvale Park,0,Square feet,100,1.862576,kWh,0,Cubic meter,0
Centennial,6867,Square feet,70,103437.4774,kWh,6503.293776,Cubic meter,"16,842"
